TargetID	ZJXT	YYFT	CXCT	GJFT	HSPT	CGFT	SHST	LYXT	CFDT	QLTT	XSHT	XYT	CXMT	LCMT	LHST	MGFT	JCJT	QALT	WJLT	WDZT
NM_198566	9.11115	9.232378	8.857294	9.271755	9.927486	10.240846	8.952556	10.385333	9.796349	8.087126	8.97376	8.406488	10.813435	11.556793	10.120671	8.212669	9.388566	7.873331	9.095918	9.755586
AA191741	3.2271574	3.0630908	5.1197166	4.4832735	2.0415094	1.1875588	1.3487438	3.2919106	2.0706098	4.39438	3.241642	3.7908993	5.6170607	13.646993	5.779304	5.645933	5.308709	4.572374	5.9992137	4.951806
NM_000566	7.713586	10.059047	7.725828	6.1040854	8.439928	9.473998	8.744809	6.0493093	8.741083	6.6407437	7.1551714	8.397895	7.312339	11.171599	6.714994	6.3971424	10.430565	8.199285	8.007745	8.355071
NM_021010	2.3886955	1.8290085	11.942279	8.122652	4.259124	1.1118007	1.3487438	12.259561	4.7078133	2.4070387	14.652141	2.8659678	5.643495	10.6636095	5.126418	5.454684	6.370328	6.0306835	2.5800068	7.2736855
NM_078480	14.724577	14.428101	14.085655	14.216032	14.109368	14.725469	14.510718	14.613923	14.255838	13.952195	14.175162	14.002354	14.670586	13.177121	15.266736	15.083636	15.987569	14.5520315	14.059699	14.826053
NM_015380	13.165098	13.194524	13.05671	13.346238	12.430216	13.420493	12.885057	13.086496	12.928321	14.014893	13.03333	13.261012	13.26902	10.898876	13.1117735	12.970101	13.9291935	12.917885	12.479068	12.621394
NM_006039	15.776993	17.308699	14.423194	14.83805	16.588259	16.279963	16.262875	14.345658	15.791126	15.090759	13.972058	14.834621	14.702436	16.925592	14.320104	15.537033	17.32706	17.10427	15.907554	17.08026
NM_023009	15.934063	15.866424	16.470806	16.201313	15.255523	15.833891	15.885224	15.493919	15.860928	15.322904	16.190872	15.381848	15.0548	15.225164	15.227424	13.34732	17.34475	16.083961	15.544883	16.466904
NM_002946	12.110977	12.26542	12.090776	9.550377	12.197626	10.531991	11.129012	11.241872	11.939686	12.0332155	12.411783	11.442848	12.215524	12.105774	11.50541	9.758496	13.964742	13.381898	12.822323	13.944293
NM_080655	8.847665	9.742647	8.420555	8.545637	9.076304	8.941477	10.134317	9.283897	9.159113	8.775053	8.140879	8.559622	9.6648445	9.434481	8.512011	9.423175	9.577158	10.294257	9.120544	9.737442
NM_015955	9.300164	9.470608	8.795028	9.257726	9.367632	9.574311	9.192928	9.379653	9.429096	8.968795	8.973755	8.644908	8.9530735	9.745285	8.803073	8.329058	11.364829	10.376638	9.34377	10.569236
NM_001865	15.987251	15.361751	15.645929	15.786708	15.335257	15.432671	15.300899	15.05075	15.409222	15.762185	16.21576	15.955504	15.296801	14.1535225	16.120382	16.50008	16.305038	16.627302	15.662412	15.871719
NM_002632	12.966283	14.636732	10.993504	11.145796	12.562749	11.786483	12.423386	12.132704	12.5253105	9.379629	10.868239	10.748792	11.233465	12.044184	12.12134	12.432519	12.966202	14.182085	12.518191	12.602758
NM_005651	10.089175	14.521593	10.101757	10.01185	11.401333	12.162109	11.680965	8.840332	12.117514	7.723153	10.045468	10.661237	9.078831	12.92807	8.822709	10.48169	11.749496	13.519559	11.7152195	11.987739
NM_001004060	12.020541	12.609401	12.800813	12.727883	12.269919	13.122202	12.289867	12.80098	12.142055	13.210423	12.161565	12.359969	12.306487	11.558554	13.394073	12.262475	12.906243	11.231215	12.189938	11.5379095
NM_017510	15.740953	15.912929	15.654815	15.94716	15.442905	15.558167	15.6144285	16.142647	15.037141	15.385898	16.008087	15.830544	15.28708	15.564865	16.051277	15.193257	16.063503	15.019939	16.02705	15.279442
NM_002720	11.879464	11.899406	12.519689	12.4041815	11.717018	12.535976	12.051889	12.376167	11.761636	12.777428	11.887732	12.043887	11.636052	12.38135	12.257713	11.946827	13.854627	12.20042	13.062245	12.4936
AI656807	2.5406868	2.7418811	4.782379	2.0153654	1.9505711	3.139416	2.5130177	1.7398386	1.4101374	2.7211645	2.8605685	1.7547623	5.2828608	10.897169	2.3635736	4.49772	3.5156715	3.0018322	2.0806715	0.924773
NM_001861	17.553122	17.63573	17.42321	17.650204	17.353477	17.255363	16.967972	17.279179	17.207563	18.113035	17.706856	17.801311	17.82682	19.017326	17.522541	17.401728	18.944023	16.954248	17.688892	17.552402
NM_000348	3.8649077	4.3201494	5.4382887	5.520924	3.4583871	4.7344832	3.09148	4.659853	3.0237525	6.5589957	5.2224913	4.336693	7.113489	9.724327	5.87476	6.0351076	4.392621	3.3506942	4.4245324	5.08223
NM_006093	0.69273853	5.784927	1.7007843	2.351107	1.4491861	1.1118007	1.3487438	2.3768787	1.4101374	2.3499157	2.8435292	2.160212	4.9545183	9.54447	1.8003103	3.6423655	4.2079177	5.133345	6.340527	4.9503465
NM_000660	8.968885	10.399934	8.740881	8.127168	9.704746	10.035642	10.157638	8.411021	9.910572	8.47979	7.66124	8.789367	7.990616	9.004236	9.119589	8.641732	10.95614	10.553932	9.502534	10.581055
NM_013232	14.576976	13.724462	14.213024	14.160191	14.133553	13.7618	13.624246	14.291414	14.092185	14.180017	14.685656	14.146317	14.978979	13.997463	14.427163	13.7958765	16.200657	15.269514	14.804645	16.039818
NM_001147	10.945928	12.517003	8.699892	9.59509	10.577202	11.912743	13.212099	9.28558	10.135267	8.72314	9.370765	10.208464	10.01123	11.385075	10.760681	11.062737	10.671656	12.8220825	11.309462	10.820593
NM_003496	10.519021	11.249459	10.566955	10.539765	10.770658	10.459591	9.917096	10.760987	10.653222	10.405413	10.222816	10.171554	10.318517	13.070519	10.450478	10.764482	10.943981	11.067585	10.015476	10.177625
NM_002975	13.126952	14.720866	11.291897	11.755546	14.018424	13.640158	13.6667185	11.345279	13.289775	11.489024	11.429316	11.562498	11.047593	13.897048	11.3750725	12.743823	14.825792	15.178558	13.786098	14.174005
NM_005952	10.273344	10.039559	12.983161	12.409001	10.5577965	9.462201	9.107667	10.659763	10.609733	14.71479	11.3040695	11.261801	9.603306	11.561165	9.800705	12.322799	11.1450405	9.53076	13.728718	10.055006
NM_002812	14.377701	14.218754	14.265095	14.520004	14.023336	14.40444	14.274694	13.935522	14.314373	14.09969	14.467325	13.681899	14.575971	12.95743	13.753213	13.774749	15.191567	13.647683	13.906783	13.885289
NM_005771	10.941159	10.842451	13.102545	12.85245	9.473794	8.246988	9.766072	13.50242	10.642456	12.267671	12.878002	11.850346	11.284978	12.005617	11.778938	14.819163	12.365916	10.818663	9.667972	11.823215
NM_004146	15.080499	15.069314	15.274974	15.173376	14.697311	14.506402	14.491269	14.522448	15.088827	15.374956	15.414219	15.127588	16.368046	15.7057085	15.739205	15.584873	16.035908	15.439529	14.745441	15.388264
NM_004468	12.595942	14.037826	11.353444	11.564565	12.922879	12.890891	13.033462	11.527963	12.813959	11.4083395	11.25823	11.736678	11.611627	11.486757	13.29485	11.987932	13.784151	14.527993	13.071024	13.0600605
NM_002622	9.725917	9.153206	9.9232645	9.856789	9.308728	9.0084915	9.151169	9.766207	9.014608	8.836265	9.602675	8.1504545	8.667095	12.313879	9.682217	9.417246	10.987983	10.447754	9.504282	9.850009
NM_006711	14.420047	14.13999	14.096755	14.2082615	14.490687	14.264437	14.068312	14.668256	14.47087	13.72745	14.217374	13.933983	13.721011	15.11168	14.131759	14.333574	15.921412	15.63401	14.350118	14.921364
NM_004494	16.066378	15.534468	15.218293	15.511056	15.9786415	15.526048	16.08654	16.099524	15.680429	15.285626	15.621712	15.729252	16.762054	16.087353	16.311907	15.328732	15.573178	15.129195	15.414845	15.659519
NM_002343	8.869676	12.35771	17.584564	16.746895	11.080192	7.887151	7.880542	11.596184	16.123648	16.996046	18.07727	17.775732	11.965569	11.478275	13.739566	9.183188	12.850547	10.849112	15.217352	16.565073
NM_001001551	12.573448	12.290047	13.228183	12.694871	11.462599	11.304972	12.11324	12.45423	12.488425	13.161949	12.866754	12.680688	11.808401	11.927561	11.573259	12.30234	12.57501	10.69487	12.387855	11.457947
NM_003077	14.829649	14.570822	14.64509	14.647121	14.3586035	14.476547	14.829805	14.135225	14.271281	14.7364435	14.621136	14.195483	15.549602	15.748524	14.833716	13.592095	15.28588	12.733013	13.835147	13.655896
NM_001040429	9.408361	11.328632	7.8451605	8.2292795	9.02778	8.41796	8.368262	8.472323	9.269046	8.568744	8.023929	8.985607	7.897525	11.29018	8.2866	9.559399	9.548032	9.828174	9.146719	9.036515
NM_001018075	10.853935	12.433476	11.809755	11.540328	11.420416	10.866328	11.395267	10.7060375	11.871295	12.417895	11.438537	11.948099	8.744388	12.323055	10.92962	10.447007	12.924363	11.528821	12.085578	11.528418
XR_001013	10.689574	10.588638	9.682498	8.881636	10.769371	10.28515	11.874269	9.788616	11.384626	9.414884	9.894448	11.180511	10.402957	11.393084	11.07607	10.085414	13.864562	13.758374	12.914529	13.178895
NM_014508	6.4998956	8.528013	9.164003	7.918977	7.9856567	7.728115	8.684679	7.5226755	8.797144	8.264112	6.9805803	8.00556	7.90221	10.543022	8.572991	7.356712	10.093445	8.552301	8.396618	8.891757
NM_003018	3.9739237	6.451529	5.273086	4.85877	4.8986835	4.1987863	4.532596	5.759428	6.5927896	7.365876	6.150121	6.103319	6.699656	10.355966	5.632991	6.4962854	6.595076	6.545108	6.391055	7.127668
NM_005997	12.877066	13.333958	13.211923	13.349363	12.889529	13.789939	14.027766	13.532945	13.181036	13.211138	13.103716	12.815572	14.397789	12.112032	14.354376	13.279132	14.180124	12.927705	12.581794	13.604589
NM_000482	4.541426	2.1656237	13.701729	13.289088	5.18863	11.765564	4.353537	14.926838	8.008012	4.091152	16.693233	6.8154855	6.8863397	11.405998	5.9350333	8.20031	5.322632	6.9953837	7.394555	7.016177
NM_198721	2.3908815	3.4330215	2.664518	3.8250322	1.4491861	2.9216025	1.5925503	3.8449078	3.1763756	3.893684	2.8435292	1.7547623	6.493223	11.435455	5.9919033	5.893242	3.4743896	2.4436843	3.505318	4.8893585
NM_015257	11.981022	12.4879675	11.710689	11.806385	12.6253605	12.166497	11.957021	12.218318	12.435822	11.648857	11.323643	11.728415	12.62093	11.490164	11.811316	11.272045	11.354006	10.912527	11.529599	11.556976
NM_001664	16.276712	16.720139	16.191494	16.431293	15.551098	15.448912	15.613843	15.991859	15.817394	16.232666	16.152237	16.251362	16.786373	17.542826	15.668	16.749092	15.84191	15.008726	15.698877	14.95698
NM_012138	12.5921545	12.5643835	12.556747	12.597421	12.653844	12.505333	13.348228	12.783183	12.867589	12.991838	12.288234	12.349542	14.460322	14.060597	13.60556	13.520474	13.554541	12.249292	12.557084	12.676891
NM_176875	11.118818	11.24069	14.123727	13.22153	11.060203	10.000542	11.38667	10.36871	11.715403	15.101448	12.787881	14.481589	11.0367775	11.966917	11.60711	10.4800825	14.7960005	13.476234	14.552031	14.293879
NM_001025596	9.633704	9.686218	8.869641	8.919653	9.389525	10.702371	9.405584	9.9619665	9.015491	8.9003935	8.940625	9.049348	9.149758	10.046749	7.6239476	8.488627	9.847859	9.200471	8.902979	11.102334
NM_006082	17.224617	17.4005	16.503252	16.652828	16.763227	16.504963	16.233166	16.221216	16.659615	16.5224	16.379639	16.545847	17.431934	16.861956	16.75992	16.43216	18.430714	16.922607	17.110226	17.592176
