REF	Feature Numbers	SystematicName	ccRCC-1	ccRCC-2	ccRCC-3	ccRCC-4	ccRCC-5	ccRCC-6	ccRCC-7	ccRCC-8	ccRCC-9	ccRCC-10	ccRCC-11	ccRCC-12	ccRCC-13	ccRCC-14	ccRCC-15	ccRCC-16	ccRCC-17	ccRCC-18	ccRCC-19	ccRCC-20	ccRCC-21	ccRCC-22	ccRCC-23	ccRCC-24	ccRCC-25	ccRCC-26	ccRCC-27	ccRCC-28	ccRCC-29	ccRCC-30	ccRCC-31	ccRCC-32	ccRCC-34	ccRCC-35	ccRCC-36	ccRCC-37	ccRCC-38	ccRCC-39	ccRCC-40	ccRCC-41	ccRCC-42	ccRCC-43	ccRCC-44	ccRCC-45	ccRCC-46	ccRCC-48	ccRCC-49	ccRCC-50	ccRCC-51	ccRCC-52	ccRCC-53	ccRCC-54	ccRCC-55	ccRCC-56	ccRCC-58	ccRCC-59	ccRCC-60	ccRCC-61	ccRCC-62	ccRCC-63	ccRCC-64	ccRCC-65	ccRCC-66	ccRCC-67	ccRCC-68	ccRCC-69	ccRCC-70	ccRCC-71	ccRCC-72	ccRCC-73	ccRCC-75	ccRCC-76	ccRCC-77	ccRCC-78	ccRCC-79	ccRCC-80	ccRCC-81	ccRCC-82	ccRCC-83	ccRCC-84	ccRCC-85	ccRCC-86	ccRCC-87	ccRCC-88	ccRCC-89	ccRCC-90	ccRCC-91	ccRCC-92	ccRCC-93	ccRCC-94	ccRCC-95	ccRCC-96	ccRCC-97	ccRCC-98	ccRCC-99	ccRCC-100	ccRCC-102	ccRCC-103	ccRCC-104	ccRCC-105	ccRCC-106
A_23_P146146	12	NM_152565	2.658112711	2.623459409	2.538238434	2.61500386	2.512343268	2.617571493	3.588075744	2.644005848	2.493253401	2.491285803	3.577506118	2.532327715	2.53966081	4.294432416	2.846174048	2.466018941	2.429167937	2.729207257	2.879620676	2.541597642	2.547016673	2.589737458	2.439681607	2.554583842	2.904967438	2.737351354	2.700720991	2.494067003	2.590848809	2.579932144	5.385967836	2.450909737	5.340239461	2.604133224	2.479133268	8.489803656	4.098637766	2.796010682	3.186854166	2.58091885	5.293378467	2.915900453	2.669266703	2.607192759	3.074079861	2.879885272	3.334577026	2.956018939	2.64752683	2.614921899	2.700482441	4.545577024	3.755023423	2.668112872	2.509426786	2.673342852	2.469861867	2.535180611	2.712601255	4.127347006	2.490244827	5.365224201	2.504433933	3.131361194	2.459801229	2.473308156	3.047281944	2.557535724	2.864913442	2.458401506	2.479440253	2.861242557	2.604285442	4.040560051	4.203193502	2.706234967	4.039528974	2.920494626	3.304585536	2.452520182	2.481573386	2.486223298	2.519232315	3.179833926	2.758745074	6.817039713	2.669936884	3.454810215	2.458401506	2.4050261	2.522271786	4.336967901	2.477661616	4.642019511	3.853484963	2.780347096	5.017806882	2.506565614	3.862963852	2.989045168	2.50081923
A_23_P42935	13	NM_004333	7.739170442	8.095335338	8.241715363	7.018512584	7.658827762	7.194430021	7.167807915	7.539758629	7.447795003	8.092668794	6.851701408	7.414177357	7.534074646	7.458485439	7.153117295	7.065707041	7.319217068	6.706471719	7.390149396	7.489826516	7.969182087	7.995713434	7.093398537	7.095684126	7.536853943	6.659375407	6.564247473	7.057692966	6.976383062	6.747532054	7.084107727	7.572801634	7.27027479	7.443344584	8.011926233	8.125083922	6.896479516	7.829241819	7.37100177	7.169735692	6.849994391	8.590545665	7.094467445	7.801871375	8.011209088	7.322802931	8.228182938	7.621918181	7.353446859	7.031804442	7.425989305	6.871593044	7.991812274	7.666321024	7.354717065	7.355682956	6.911198741	7.71658189	7.309747208	6.975330531	7.970331911	6.830713702	7.043061824	7.457761709	8.058313906	7.982474682	7.261141285	7.225545224	6.895176336	7.107674755	7.765674806	7.450700605	6.904069867	7.950676194	6.861183986	7.112748701	8.088612184	7.294449116	8.101535841	6.580644064	7.547459743	7.131462416	7.04518905	7.719826391	7.41493846	7.344580879	7.207002384	6.515351748	7.042014808	7.291277489	6.616029034	7.064192525	7.491221233	7.536853943	7.164036165	6.803335189	7.132694108	6.965004971	6.7699377	7.033255972	6.955362517
A_23_P117082	14	NM_015987	12.54023688	13.29366633	12.31525434	12.06005426	12.4077079	11.91079101	12.00356951	11.98387097	12.08307798	11.50635671	12.72302052	12.54895919	12.43547749	12.63300895	12.13227504	12.62720152	11.52968289	12.06768123	12.2035281	12.06768123	12.79941051	12.16093909	12.37336526	12.39914877	12.05481176	12.81151904	12.37491217	11.6932842	12.15490135	12.017666	12.25956094	12.20236032	12.71122014	12.18281961	12.23044617	12.61046713	12.9623695	12.86193027	12.72530721	12.80234109	12.84437487	11.22004074	12.92410594	11.76788959	12.65683368	12.37491217	12.44143879	13.62062559	12.00074539	12.32152623	11.98387097	12.54269564	13.36581478	12.55740661	11.96268551	11.53106027	12.27288148	12.36080255	12.38963087	12.04676349	12.31105994	12.73702147	12.32790831	12.2494679	12.1980582	12.65140419	12.63464052	12.80034813	11.79048098	11.90676072	12.11862466	11.73323694	12.32424612	11.73274197	12.38818572	12.05326443	12.86632192	12.67015442	11.70019976	12.19461378	12.21278008	12.44003014	12.17239269	12.39636585	11.84533486	12.83905547	12.22330584	12.13416265	12.14852322	12.10446384	11.68184072	12.22257053	12.44336145	13.04379103	11.98387097	12.04553714	12.6994054	12.34326405	12.09645585	12.35096635	13.01210962
A_23_P2683	15	NM_024604	6.658013156	7.022113861	7.104945043	6.875216748	6.744539804	7.029692543	6.801729991	6.817647321	6.799857413	7.801408726	6.938968121	6.944486541	7.41493846	6.935486288	7.134024282	7.136489551	6.924434713	6.872729815	7.317150722	7.358857728	7.669659524	7.301423461	6.619414267	7.140274804	6.876462971	7.986510542	7.132694108	7.016770325	7.153358436	7.622138043	7.263638044	7.320235553	7.352609123	7.060221476	6.657169237	6.758952559	6.886030657	7.098813616	6.748582138	8.971883821	7.065707041	7.047470038	7.347656918	7.209839972	7.38149669	7.077922163	7.057025813	7.207002384	7.282072135	6.658550677	7.05401932	7.436395274	7.936289895	7.030720119	7.424072383	7.305770131	6.644588281	7.744590276	6.615161432	7.192665373	7.255567205	7.476199952	7.12754673	7.132694108	6.94236757	7.832891791	7.442385016	7.406244106	6.844035392	6.504637165	6.826348389	6.917965165	7.354440852	6.845339733	7.295962234	7.420398672	7.337003978	7.067909481	7.315689686	7.449657725	6.99294886	6.77152953	6.814070293	6.710129178	7.344352945	7.764738205	7.084338725	6.913916221	7.122545328	6.751883888	7.074498325	7.195274256	6.78388984	7.603843777	6.963158146	6.80434682	7.646658014	6.971752625	6.9349365	6.76728894	7.168282047
A_24_P358131	16	A_24_P358131	10.0196679	9.675268227	10.02550718	9.749789285	10.55074205	10.42037922	9.542068831	9.454932857	10.25330782	8.02476027	8.713964562	10.0819675	7.8814786	10.0204801	9.960383739	8.838713797	9.09525132	9.680393592	8.809839885	11.30961943	10.18944492	10.96779504	10.02523742	10.52641833	10.13844918	10.47796049	10.03473024	10.93326681	10.2892294	9.765616498	9.718100191	11.39419115	11.60001385	10.30753854	8.3401539	9.146522771	11.56798858	9.558854233	10.81321331	10.30312287	11.06420411	10.70092749	9.360991849	11.47741748	10.63553015	11.12680283	10.13047484	11.14734431	9.32262136	11.17090297	9.792483289	10.11107597	12.16853423	9.409659752	9.272326583	9.371023289	10.71821695	11.36803535	10.40585014	10.83268543	12.49321557	10.32392054	9.699083758	9.32475069	9.747192987	10.69231037	9.930258495	9.809304876	10.06897653	10.26683617	10.07954067	9.7482467	10.11671156	9.110878364	9.14032828	8.958248156	11.71628133	9.507741375	10.18631966	10.95202331	9.884434325	9.746406595	10.4899657	10.53855748	10.60960958	11.11764371	9.545557052	9.8101248	11.057017	9.609782492	9.20824108	9.750581455	9.424062726	6.710921581	9.178938265	9.718100191	11.89055296	8.370900257	8.872738237	9.878749022	9.104993455
A_33_P3367647	17	ENST00000401414	2.655560683	2.627890386	2.546139981	2.634928924	2.526751134	2.668755596	2.564736315	2.646822709	2.533219613	2.505872797	2.564736315	2.568486618	2.537307348	2.860962568	2.873289613	2.471397475	2.46196653	2.718360815	2.494651629	2.561674676	2.554867261	2.609920312	2.4677067	2.576567	2.560686119	2.703135258	2.481799656	2.521810923	2.583821446	2.577856315	2.627993817	2.459258064	2.658024114	2.609390412	2.523361531	2.703135258	2.759705684	2.804725235	3.126250837	2.579932144	2.692481636	2.925598461	2.665110084	2.663233741	2.654181127	2.92022044	3.333579146	3.020998647	2.658273056	2.641982364	2.481226834	2.522747989	3.813767248	2.667302008	2.526751134	2.671162096	2.705732747	2.563284418	2.730479529	2.593536571	2.511246027	2.986416972	2.532547389	2.59852796	2.485107353	2.497509435	3.092296517	2.548889648	2.887855811	2.491348686	2.507729674	2.890698438	2.612724411	2.516365851	2.742799075	2.738065552	2.79841243	2.928969432	3.287480707	2.479133268	2.504433933	2.494137678	2.555629007	2.597880854	2.911822951	2.945446296	2.677135836	2.510537809	2.468057635	2.427394253	2.564330256	2.638490956	2.495881113	2.497566121	2.526891118	2.781474054	2.545698061	2.506828077	2.47353347	2.635668249	2.526135093
A_23_P157316	18	NM_178829	4.376654504	4.40501441	4.364044141	3.944734973	3.695458942	3.608050671	4.205873633	4.132639845	6.253733493	5.110623041	4.468785879	3.562949892	4.557999847	4.544839728	3.515176265	3.629253696	3.491522805	3.75784863	4.626283558	4.566530263	4.686512745	4.181723888	5.160284018	4.88632047	4.462487147	5.034172197	4.455071186	3.059136265	5.143448974	4.547103417	5.196797874	4.410384482	4.190082625	4.576000697	5.789948172	2.709060268	3.597326203	4.071147686	3.600221911	4.143362535	3.76037604	4.635447592	3.797227376	4.248204211	3.990712628	4.368822936	5.163389489	4.284714474	4.389785702	3.621689605	4.747115938	4.483460938	4.952650005	4.802530672	4.441277761	5.080047609	4.65709855	4.656719799	3.55178566	2.878417302	5.65940879	4.733104711	5.141621244	4.620251654	5.66672945	5.64025011	4.273263737	4.127749725	5.97360311	3.401134048	4.359119761	4.496101623	4.400124787	4.35752398	4.436117762	4.842352893	4.606051974	3.865341351	4.606051974	5.67273335	3.732195896	5.034493141	4.752364268	5.080403032	4.802530672	4.840637292	4.478681833	4.410008568	6.672372889	5.954362198	4.687296308	5.238318875	5.587262128	4.843093388	4.030752938	4.16305919	4.1042372	4.291713315	3.189753296	4.047100734	5.57806774
A_32_P14850	19	ENST00000429990	13.93115163	13.53853585	13.73479952	14.12433954	14.41084577	13.7895917	13.48075317	13.93848334	14.16361232	14.90702662	14.05310645	13.53954779	14.06773309	13.51586592	13.28498521	13.69305948	13.35928268	13.85364354	14.00048773	13.7405557	14.16792059	14.60470292	14.14428589	13.19913724	13.30657685	13.91730275	13.74344345	13.75793458	13.78526121	15.30007124	14.14428589	13.67948703	13.87159565	13.52501433	14.52071734	13.85503882	13.87802329	13.71754239	14.3615703	13.03510433	13.51466362	14.1426634	13.7281049	14.0620268	13.73191768	13.44469914	13.80667919	13.43678932	13.43991713	13.64139722	14.13732035	13.70406132	12.97110092	13.59840224	13.62062559	13.62062559	14.35487254	13.54449931	14.00048773	13.69559219	13.15507836	13.63212774	13.58090379	13.79101398	13.8746634	13.3132402	13.47120508	13.71754239	13.63080922	13.99867975	14.41766846	13.67010316	13.84635273	13.77013383	13.59840224	13.86990838	13.33584785	13.84936128	13.6424362	12.81850013	13.79411068	14.20893111	13.91730275	13.50729687	13.57090789	13.99421564	14.14807237	14.3260198	13.7187314	13.72020453	13.28176268	13.60099123	14.03300904	12.9345597	13.80219595	13.93991524	13.57970135	13.94659728	13.99718894	13.80219595	13.95642085
A_23_P158596	20	NM_001040196	8.598156145	9.519828752	9.368295594	8.791541225	9.951283283	9.449828624	9.605607431	9.104777423	8.396623808	8.743041483	9.360097389	9.321233989	9.516190563	9.790395596	9.045062537	9.143733729	9.5072218	9.245858875	8.930248266	10.00076033	8.577602282	9.157801007	9.352337912	9.016991917	9.827552557	10.04212161	9.423826226	8.882702746	9.8374022	9.319410158	9.34269263	9.256922252	9.574920636	9.435979823	9.051356357	9.035610119	9.014499432	9.681366121	9.426055942	9.6636469	9.309028317	8.883625921	8.972291159	9.787904063	10.52613717	9.499590426	9.001514741	9.530734463	9.968814037	9.706444626	9.03205713	9.052885641	10.36066168	10.106291	9.241539484	9.301172734	9.219685547	9.334300077	9.465737073	8.907264545	9.890682243	9.74280633	9.209869519	10.10791018	9.48325451	9.380592329	9.390719216	9.232134513	9.390491926	9.379945712	9.686129374	9.6636469	8.727956908	9.742549686	8.962270321	10.22135671	10.7042013	8.532039467	9.560159592	9.116518353	9.533860962	8.981837134	9.430483644	9.174038676	9.596891622	9.646971547	9.318506304	9.518600435	9.235450837	9.361257813	9.294462088	9.634601483	8.949379275	9.121502728	8.529435321	9.125722722	9.729519362	9.80036956	9.720126086	9.61518565	9.578396451
A_23_P350107	21	NM_030961	11.27454884	10.33443609	11.19181659	11.04524668	10.78547192	11.06922146	10.78125118	11.1531943	11.45884808	11.07890131	10.99130624	10.91902914	10.45848444	11.90039373	10.56314763	11.06883693	11.06955236	11.08858803	10.72214088	10.94617761	11.51920831	11.13089823	10.91809769	10.68770544	11.27038802	10.34611209	11.17689805	10.88092303	10.99225416	10.48941952	11.71355774	11.01302961	11.54292032	10.90310567	11.18386008	10.44756537	11.32014239	10.72436261	11.19373216	10.29042476	11.18730945	11.08665098	11.13213601	10.78448677	10.1950876	11.22873919	11.02786192	10.92179248	10.82343463	10.88092303	11.24330605	10.8471489	10.49422159	10.73137668	10.84114013	11.22294151	11.46961188	10.94761134	11.2729962	10.72402323	11.51471136	10.67654469	10.66228821	10.99588409	11.37156607	10.15422067	10.09584329	11.0906557	11.15539831	10.89695761	11.14695824	11.45160617	11.1019536	11.16112605	10.93514371	10.638744	11.06601752	10.75364888	11.87557591	10.55355088	10.79140338	11.33787054	11.17881691	11.5018002	11.66608869	10.81919553	11.59342117	11.01566188	11.67609412	10.82528906	10.67777988	10.79981867	11.20709868	10.77527699	10.89020023	10.81981357	10.03118563	11.13089823	11.02752112	11.21832971	11.12119449
