!Series_title	"Analysis of DDX39A and DDX56 interacting proteins"
!Series_geo_accession	"GSE150859"
!Series_status	"Public on Mar 11 2024"
!Series_submission_date	"May 19 2020"
!Series_last_update_date	"Jul 15 2024"
!Series_pubmed_id	"38986579"
!Series_summary	"DDX39A and DDX56 recombinant proteins were assayed using commercial protein microarrays in order to detect potential interaction partners."
!Series_overall_design	"V5-tagged DDX39A, DDX56 and GFP (negative control) were purified from HEK293T cells and incubated separately on microarrays (ProtoArray v5.1, Invitrogen) containing more than 9000 unique proteins arrayed in duplicates under native conditions to maximize functionality and to allow native interactions."
!Series_type	"Protein profiling by protein array"
!Series_contributor	"Sergio,P,Acebron"
!Series_contributor	"Emil,,Karaulanov"
!Series_contributor	"Christof,,Niehrs"
!Series_sample_id	"GSM4559808 GSM4559809 GSM4559810 "
!Series_contact_name	"Emil,,Karaulanov"
!Series_contact_laboratory	"Bioinformatics Core Facility"
!Series_contact_institute	"Institute of Molecular Biology"
!Series_contact_address	"Ackermannweg 4"
!Series_contact_city	"Mainz"
!Series_contact_zip/postal_code	"55128"
!Series_contact_country	"Germany"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150859/suppl/GSE150859_RAW.tar"
!Series_platform_id	"GPL27459"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA633875"

!Sample_title	"V5-GFP"	"V5-DDX39A"	"V5-DDX56"
!Sample_geo_accession	"GSM4559808"	"GSM4559809"	"GSM4559810"
!Sample_status	"Public on Mar 11 2024"	"Public on Mar 11 2024"	"Public on Mar 11 2024"
!Sample_submission_date	"May 19 2020"	"May 19 2020"	"May 19 2020"
!Sample_last_update_date	"Mar 11 2024"	"Jul 15 2024"	"Mar 11 2024"
!Sample_type	"protein"	"protein"	"protein"
!Sample_channel_count	"1"	"1"	"1"
!Sample_source_name_ch1	"V5-tagged GFP protein purified from HEK293T cells"	"V5-tagged DDX39A protein purified from HEK293T cells"	"V5-tagged DDX56 protein purified from HEK293T cells"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
!Sample_characteristics_ch1	"cell line: HEK293T"	"cell line: HEK293T"	"cell line: HEK293T"
!Sample_characteristics_ch1	"recombinant protein expression: Negative control"	"recombinant protein expression: V5-DDX39A"	"recombinant protein expression: V5-DDX56"
!Sample_treatment_protocol_ch1	"HEK293T cells were transfected with 15 µg of the respective expression constructs using Calcium phosphate."	"HEK293T cells were transfected with 15 µg of the respective expression constructs using Calcium phosphate."	"HEK293T cells were transfected with 15 µg of the respective expression constructs using Calcium phosphate."
!Sample_growth_protocol_ch1	"HEK293T cells were grown in 15 cm2 dishes at 37°C with 5% CO2 in DMEM medium supplemented with 10% fetal calf serum, 2 mM L-Glutamine, 100 U/ml penicillin and 100 μg/ml streptomycin."	"HEK293T cells were grown in 15 cm2 dishes at 37°C with 5% CO2 in DMEM medium supplemented with 10% fetal calf serum, 2 mM L-Glutamine, 100 U/ml penicillin and 100 μg/ml streptomycin."	"HEK293T cells were grown in 15 cm2 dishes at 37°C with 5% CO2 in DMEM medium supplemented with 10% fetal calf serum, 2 mM L-Glutamine, 100 U/ml penicillin and 100 μg/ml streptomycin."
!Sample_molecule_ch1	"protein"	"protein"	"protein"
!Sample_extract_protocol_ch1	"Cells were lysed in 50 mM HEPES-KOH, pH 7.7, 1 mM MgCl2, 300 mM NaCl, 0.8 % Triton X-100, 5 mM NaF, 0.1 % Sodium deoxycholate, 2 mM β-mercaptoethanol, 1x protease inhibitor mixture tablet (Roche). Cleared lysates were immunoprecipitated using anti-V5 agarose beads (Roche) at 4 °C for 3 h. Beads were washed in TBS-T supplemented with 1 mM MgCl2, 2 mM β-mercaptoethanol and 1x protease inhibitor mixture tablet (Roche), followed by elution in the same buffer using 200 µg/ml V5 peptide."	"Cells were lysed in 50 mM HEPES-KOH, pH 7.7, 1 mM MgCl2, 300 mM NaCl, 0.8 % Triton X-100, 5 mM NaF, 0.1 % Sodium deoxycholate, 2 mM β-mercaptoethanol, 1x protease inhibitor mixture tablet (Roche). Cleared lysates were immunoprecipitated using anti-V5 agarose beads (Roche) at 4 °C for 3 h. Beads were washed in TBS-T supplemented with 1 mM MgCl2, 2 mM β-mercaptoethanol and 1x protease inhibitor mixture tablet (Roche), followed by elution in the same buffer using 200 µg/ml V5 peptide."	"Cells were lysed in 50 mM HEPES-KOH, pH 7.7, 1 mM MgCl2, 300 mM NaCl, 0.8 % Triton X-100, 5 mM NaF, 0.1 % Sodium deoxycholate, 2 mM β-mercaptoethanol, 1x protease inhibitor mixture tablet (Roche). Cleared lysates were immunoprecipitated using anti-V5 agarose beads (Roche) at 4 °C for 3 h. Beads were washed in TBS-T supplemented with 1 mM MgCl2, 2 mM β-mercaptoethanol and 1x protease inhibitor mixture tablet (Roche), followed by elution in the same buffer using 200 µg/ml V5 peptide."
!Sample_label_ch1	"Alexa Fluor 680"	"Alexa Fluor 680"	"Alexa Fluor 680"
!Sample_label_protocol_ch1	"Anti-mouse secondary antibody Alexa Fluor 680 (Thermo Fisher)."	"Anti-mouse secondary antibody Alexa Fluor 680 (Thermo Fisher)."	"Anti-mouse secondary antibody Alexa Fluor 680 (Thermo Fisher)."
!Sample_taxid_ch1	"9606"	"9606"	"9606"
!Sample_hyb_protocol	"The protein microrrays (ProtoArray v5.1, Invitrogen) were incubated for 1 h at 4 °C in Blocking Buffer I (PBS, 0.1 % Tween-20, 1 % BSA). The arrays were washed three times at 4 °C in Blocking Buffer II (TBS supplemented with 0.5 % Triton X-100, 1 mM β-mercaptoethanol, 5 % Glycerol, 2 mM MgCl2, 1 % BSA), placed at room temperature and incubated for 1 h with 600 µl of ~ 0.5 µM of immunopurified V5-DDX39, V5-DDX56 or V5-GFP. The arrays were then washed twice in Blocking Buffer II at 4 °C and incubated with 1:1000 α-V5 tag monoclonal antibody (Thermo Fisher, R960-25) for 2 h at 4 °C. After three additional washes in Blocking Buffer II, the microarrays were incubated with anti-mouse secondary antibody Alexa Fluor 680 (Thermo Fisher) for 1 h at 4 °C and washed again three times. Finally, the arrays were rinsed 3 times in water and dried by spinning at 300 g for 5 min."	"The protein microrrays (ProtoArray v5.1, Invitrogen) were incubated for 1 h at 4 °C in Blocking Buffer I (PBS, 0.1 % Tween-20, 1 % BSA). The arrays were washed three times at 4 °C in Blocking Buffer II (TBS supplemented with 0.5 % Triton X-100, 1 mM β-mercaptoethanol, 5 % Glycerol, 2 mM MgCl2, 1 % BSA), placed at room temperature and incubated for 1 h with 600 µl of ~ 0.5 µM of immunopurified V5-DDX39A, V5-DDX56 or V5-GFP. The arrays were then washed twice in Blocking Buffer II at 4 °C and incubated with 1:1000 α-V5 tag monoclonal antibody (Thermo Fisher, R960-25) for 2 h at 4 °C. After three additional washes in Blocking Buffer II, the microarrays were incubated with anti-mouse secondary antibody Alexa Fluor 680 (Thermo Fisher) for 1 h at 4 °C and washed again three times. Finally, the arrays were rinsed 3 times in water and dried by spinning at 300 g for 5 min."	"The protein microrrays (ProtoArray v5.1, Invitrogen) were incubated for 1 h at 4 °C in Blocking Buffer I (PBS, 0.1 % Tween-20, 1 % BSA). The arrays were washed three times at 4 °C in Blocking Buffer II (TBS supplemented with 0.5 % Triton X-100, 1 mM β-mercaptoethanol, 5 % Glycerol, 2 mM MgCl2, 1 % BSA), placed at room temperature and incubated for 1 h with 600 µl of ~ 0.5 µM of immunopurified V5-DDX39, V5-DDX56 or V5-GFP. The arrays were then washed twice in Blocking Buffer II at 4 °C and incubated with 1:1000 α-V5 tag monoclonal antibody (Thermo Fisher, R960-25) for 2 h at 4 °C. After three additional washes in Blocking Buffer II, the microarrays were incubated with anti-mouse secondary antibody Alexa Fluor 680 (Thermo Fisher) for 1 h at 4 °C and washed again three times. Finally, the arrays were rinsed 3 times in water and dried by spinning at 300 g for 5 min."
!Sample_scan_protocol	"The microarrays were scanned in an Odyssey scanner (LI-COR) using the following parameters: Channel 700, Grid = 8x3, 21.17, Intensity = 5, Offset = 0."	"The microarrays were scanned in an Odyssey scanner (LI-COR) using the following parameters: Channel 700, Grid = 8x3, 21.17, Intensity = 5, Offset = 0."	"The microarrays were scanned in an Odyssey scanner (LI-COR) using the following parameters: Channel 700, Grid = 8x3, 21.17, Intensity = 5, Offset = 0."
!Sample_description	"Array ID: 0000088750"	"Array ID: 0000088678"	"Array ID: 0000088692"
!Sample_data_processing	"ProtoArray signal data was determined with GenePix Pro v5.0.0.49 (Molecular Devices) and then processed following the manufacturer's recommendations using ProtoArray Prospector v5.2 (Invitrogen) with default settings."	"ProtoArray signal data was determined with GenePix Pro v5.0.0.49 (Molecular Devices) and then processed following the manufacturer's recommendations using ProtoArray Prospector v5.2 (Invitrogen) with default settings."	"ProtoArray signal data was determined with GenePix Pro v5.0.0.49 (Molecular Devices) and then processed following the manufacturer's recommendations using ProtoArray Prospector v5.2 (Invitrogen) with default settings."
!Sample_platform_id	"GPL27459"	"GPL27459"	"GPL27459"
!Sample_contact_name	"Emil,,Karaulanov"	"Emil,,Karaulanov"	"Emil,,Karaulanov"
!Sample_contact_laboratory	"Bioinformatics Core Facility"	"Bioinformatics Core Facility"	"Bioinformatics Core Facility"
!Sample_contact_institute	"Institute of Molecular Biology"	"Institute of Molecular Biology"	"Institute of Molecular Biology"
!Sample_contact_address	"Ackermannweg 4"	"Ackermannweg 4"	"Ackermannweg 4"
!Sample_contact_city	"Mainz"	"Mainz"	"Mainz"
!Sample_contact_zip/postal_code	"55128"	"55128"	"55128"
!Sample_contact_country	"Germany"	"Germany"	"Germany"
!Sample_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4559nnn/GSM4559808/suppl/GSM4559808_GFP.gpr.gz"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4559nnn/GSM4559809/suppl/GSM4559809_DDX39A.gpr.gz"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4559nnn/GSM4559810/suppl/GSM4559810_DDX56.gpr.gz"
!Sample_data_row_count	"9375"	"9375"	"9375"
!series_matrix_table_begin
"ID_REF"	"GSM4559808"	"GSM4559809"	"GSM4559810"
1	18.5	129.5	243
2	56	492.5	1426
3	250.5	2769	14043.5
4	49	188	368.5
5	33	301	357
6	76	968.5	2983
7	65	364	832
8	1264	2979.5	11137.5
9	100.5	1100.5	3907
10	131	98	146
11	218	1232.5	759.5
12	14.5	109.5	103.5
13	14.5	106	100
14	25	316.5	217.5
15	74.5	583	372
16	138.5	1142.5	4513.5
17	85.5	274.5	607
18	80.5	409	420.5
19	54	199	171.5
20	608.5	1108.5	2319
21	122	2598.5	810.5
22	218.5	1171.5	4516.5
23	70	582	541.5
24	58.5	315.5	325
25	9	73.5	86.5
26	36	202	199.5
27	42.5	862.5	224
28	11.5	96.5	74
29	26.5	367	134.5
30	31.5	315.5	179
31	76	384.5	933.5
32	29	252.5	112
33	66	235.5	281.5
34	48.5	335	477
35	189.5	1239	66
36	27	212	452.5
37	140.5	1297.5	5028
38	46.5	316	304.5
39	31.5	179	284
40	49	300.5	238
41	1	44.5	63.5
42	12	216	180.5
43	13	94.5	76
44	86	366.5	274.5
45	143	1376	2844.5
46	37.5	314.5	91.5
47	37.5	260	180.5
48	12.5	78.5	169
49	5	61.5	38
50	11	211.5	127.5
51	114	448.5	434
52	8	112.5	166
53	53.5	1110.5	4470.5
54	54	347	164
55	8.5	580	313.5
56	31	325.5	379.5
57	10.5	172.5	150.5
58	29	295.5	348
59	56.5	523	257.5
60	53	630.5	448.5
61	20	291	394.5
62	56.5	574.5	632.5
63	81	522	1041.5
64	29	233	309.5
65	20.5	86.5	50
66	18.5	124.5	115
67	54.5	209	300
68	47.5	571.5	4631.5
69	36	376	1220
70	69.5	308.5	349.5
71	50	291	204
72	58	917	1278
73	18	447.5	188
74	19.5	80	97
75	26.5	221.5	305
76	108	1394	177
77	9	43.5	56.5
78	28	200.5	165
79	12.5	115.5	153.5
80	25	176.5	192.5
81	14.5	199	301
82	191	2567.5	9943.5
83	35	321.5	589.5
84	33	391	572.5
85	25	219	221
86	33.5	248.5	216
87	84.5	418.5	330
88	64	262	239.5
89	30.5	307	973.5
90	80.5	347.5	445.5
91	23.5	99.5	196.5
92	149	930.5	3461.5
93	334.5	2189	8192.5
94	126	540.5	503.5
95	34	120	200.5
96	36.5	225	330
97	6.5	37.5	29.5
98	11.5	703.5	63.5
99	0.5	31	15.5
100	11.5	96	136.5
101	213.5	1508.5	5154.5
102	44	204	633
103	148	474.5	533
104	47.5	-87	-378.5
105	53	797.5	255.5
106	22	305	1020.5
107	22.5	160	115
108	23.5	162.5	221
109	66.5	497.5	1547
110	12.5	193.5	163
111	52.5	324	528
112	54.5	300	546.5
113	22.5	120	209.5
114	27.5	123	247
115	22.5	151	103
116	10	116.5	168.5
117	11	135.5	133.5
118	61	486.5	319
119	40	301	211.5
120	286.5	2128	4390
121	20.5	206	215.5
122	27	132.5	232
123	17	131	290
124	34	111	172.5
125	74.5	147	260.5
126	47.5	270	122.5
127	106.5	553.5	456
128	33.5	253.5	322.5
129	2	29.5	27.5
130	28.5	578.5	673
131	98.5	1096	4975
132	29.5	184.5	148
133	14.5	586	2215.5
134	2	6736.5	6711
135	42	123	52.5
136	6963.5	7037.5	9213.5
137	59	89	87
138	9.5	64	87
139	41.5	546	245.5
140	18.5	656.5	180.5
141	36.5	608	4828
142	45	417	1495.5
143	183	2274.5	9577.5
144	72.5	382.5	1268.5
145	6	222	759.5
146	25	309.5	1125.5
147	48.5	282.5	965.5
148	35.5	245	887
149	57	328.5	443.5
150	47	298.5	316.5
151	35	142	181.5
152	36.5	204.5	429.5
153	16	193	440
154	31.5	448	214
155	19.5	273.5	880.5
156	17.5	200	589
157	13	96	151
158	29.5	147.5	337
159	134	466.5	256
160	20	107.5	197
161	10	75	86.5
162	18	179.5	253
163	24	195	216.5
164	23.5	133	239.5
165	117	961	4713.5
166	144	938	1274
167	48	259.5	180
168	35	153.5	208.5
169	3	51.5	52
170	26	325	418
171	46.5	857.5	4645.5
172	4	74.5	110
173	4.5	79.5	160.5
174	468	3755.5	438.5
175	36	159	270
176	101	797	173.5
177	18.5	202.5	274
178	190	1005.5	3208
179	65.5	446.5	1241.5
180	19	109	227.5
181	57.5	280	583.5
182	361	2391	10580.5
183	57.5	377.5	695
184	31	294.5	1005
185	14	203	1602
186	163.5	1450.5	4296.5
187	219	1787.5	6594
188	13	189	426
189	8.5	36.5	129
190	76.5	311.5	894
191	0	225	50.5
192	107.5	608	1716
193	3.5	21.5	11.5
194	5.5	22.5	13.5
195	21	129	168.5
196	17.5	38.5	42
197	13	120	198
198	32.5	455	162.5
199	12.5	485	377.5
200	20	243.5	162.5
201	56	585	1007
202	79	817.5	1201.5
203	54	240.5	384.5
204	59	352	308
205	36.5	148	375
206	31	186.5	282
207	431.5	1667	3492
208	3	80	163
209	17.5	194.5	166
210	12	218	151
211	1817.5	7396	10876.5
212	248.5	4590	13096.5
213	14	31	40
214	41	291	135.5
215	21	156.5	317.5
216	28.5	192.5	413.5
217	81.5	706	56.5
218	15	128.5	409.5
219	29	347	562
220	38	472.5	707
221	52.5	524	996.5
222	-323.5	-502	361
223	36	466.5	484
224	17.5	265.5	824.5
225	9	84.5	97.5
226	41.5	228.5	297.5
227	60.5	119.5	275
228	11	230	59.5
229	105	1596.5	6677
230	57	725	1734.5
231	81.5	1543	348
232	10	274	355.5
233	18	330	945
234	37.5	528.5	94
235	30	366	967.5
236	324.5	1178	3674
237	91	809.5	1486
238	277.5	2493.5	10654.5
239	22	120	65
240	22.5	305.5	369
241	18.5	516.5	589.5
242	107.5	1126.5	4138
243	11.5	114.5	282.5
244	41	239.5	1136
245	15	103	46
246	29.5	481	463.5
247	58	282	132.5
248	23.5	112.5	135.5
249	-21.5	221.5	-164.5
250	5	58	103.5
251	274.5	1526.5	1518
252	18	374	4332.5
253	8	129	160.5
254	18	403.5	306
255	43	636.5	71
256	4	116	126
257	17.5	70	88.5
258	335	759.5	1948.5
259	18	53.5	74
260	7.5	-35.5	-393.5
261	11.5	133	303.5
262	23	142	196
263	8	207	402
264	11	161.5	494.5
265	374.5	2661	10644.5
266	56	325.5	717.5
267	348	695	747
268	5.5	33.5	92.5
269	16.5	214	116
270	5	70.5	154.5
271	-3	148	-178
272	4	115	91.5
273	10	186.5	168.5
274	9	99	182
275	7.5	75	161.5
276	21	290	923.5
277	21	689.5	1671
278	10	119	188.5
279	125	840	3611.5
280	54.5	427	582
281	31.5	264	103.5
282	14	126	-151
283	187.5	832.5	635
284	47.5	899	20
285	6.5	66	80
286	70.5	395.5	1038
287	21.5	208.5	158
288	16	114	240
289	56	415	625.5
290	25	228.5	273
291	30	485	233
292	18.5	281.5	745
293	17	163	427.5
294	14	116.5	340.5
295	0	18.5	21.5
296	11	204.5	621.5
297	705	1757	5726
298	33	155.5	539.5
299	237	886.5	5302
300	615	1856.5	8138
301	10	173	253
302	6.5	52.5	77.5
303	6.5	82.5	165.5
304	7	84.5	79.5
305	54.5	784	71.5
306	16	131	184.5
307	13.5	122.5	286
308	16	95.5	214.5
309	56.5	267	276.5
310	17.5	82.5	185.5
311	60.5	578.5	683
312	9	131.5	182
313	4.5	36	33
314	6	51	75
315	11	115	123.5
316	26	201	71.5
317	36.5	691	222.5
318	15	345	247
319	37	157.5	41
320	13.5	129.5	245
321	26.5	185.5	263.5
322	52	518	102.5
323	47	1712	379
324	35	593.5	108
325	2	-1.5	12.5
326	1	121	10
327	8	36.5	44
328	-7	98.5	116
329	17	356	1472.5
330	115.5	1761	247
331	0	-17	-73
332	-2	-66.5	8
333	4.5	90.5	92
334	12	225	281
335	11.5	152	247
336	0.5	28	44.5
337	11.5	501.5	2071
338	18	877	1645
339	27.5	618.5	2703
340	11.5	181.5	434.5
341	3.5	154.5	47.5
342	3	17	-19
343	4	7	62
344	-0.5	11	24.5
345	13	512	39.5
346	2.5	50.5	80.5
347	1	41	59
348	3	35	6.5
349	3.5	50	91.5
350	4	234.5	67.5
351	5.5	97.5	109.5
352	5.5	69.5	19
353	1.5	112	69
354	2.5	31.5	21.5
355	15.5	136	127
356	3	-2	29
357	15.5	206	259
358	15.5	155.5	258
359	13.5	158.5	366
360	2	63	113.5
361	22	274.5	78
362	49.5	514.5	346.5
363	19.5	101	345.5
364	711.5	1518.5	115
365	-2	36.5	98
366	24.5	285.5	160
367	146.5	862.5	723.5
368	3.5	43	87
369	14.5	200.5	1612.5
370	250	4020	11213.5
371	43.5	657.5	156
372	11	60	-52.5
373	7.5	124.5	321
374	29	136	281
375	20.5	159	369.5
376	94.5	1216	6510.5
377	89.5	427	1291.5
378	-3.5	132.5	-21.5
379	13	93.5	285
380	2	41.5	155.5
381	4	118.5	227
382	6	156	200.5
383	28.5	536.5	1000
384	2	92	-76
385	59.5	594	2770
386	16	120	555.5
387	53	233	502
388	42	191.5	510.5
389	1	5	-43.5
390	6.5	124.5	61
391	21	112.5	361.5
392	34.5	451.5	682
393	33.5	272.5	490
394	65	515	1348.5
395	66	443.5	1263
396	17	163.5	271
397	86	519	903.5
398	74	294.5	522
399	39	291.5	363.5
400	48.5	511	79
401	51	681.5	97.5
402	17.5	344.5	518.5
403	191	2406	7583
404	83.5	501	457.5
405	70	1040.5	1989.5
406	37.5	154	199
407	113	470.5	241
408	389	4208.5	359
409	52.5	438.5	361
410	57.5	301.5	969.5
411	36	407.5	270
412	1080.5	4237	7927
413	113	695.5	316
414	53	781.5	358.5
415	109	434	510
416	49.5	248	286.5
417	26.5	277	131.5
418	25.5	192.5	131.5
419	27	168.5	63
420	21.5	195.5	165.5
421	271.5	1984.5	3077.5
422	42.5	702.5	73
423	892	3290	9302
424	60	547	232
425	39	423.5	464.5
426	16	98.5	170
427	17	159.5	194
428	55.5	410.5	1143
429	145	745.5	868
430	107.5	1195	198
431	130	838.5	2112.5
432	25.5	148	161
433	32	328	845
434	32.5	254.5	1043.5
435	12.5	89	93
436	21	283	1811.5
437	44.5	1411	637.5
438	12.5	170	125
439	21.5	198.5	138
440	19	291	150.5
441	27	255	92
442	21.5	178.5	232.5
443	9.5	161.5	178
444	8	155	229
445	29	344.5	121.5
446	99	1095.5	2202.5
447	57	489.5	206.5
448	40.5	426	207
449	73.5	788	586
450	47	484.5	288.5
451	30.5	241	261
452	132	2185.5	11089.5
453	41	292.5	436
454	49	390.5	523.5
455	594	3359	10791.5
